mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	slur
3	3	7	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	21			0
3	3	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	22			
3	3	6	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	23			
3	3	7	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	24			1
3	3	15/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	25			
3	3	8	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	26			2
3	3	17/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	27			
4	4	9	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	28	ornamentShortTrill		
4	4	11	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	29			
4	4	9	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	30			
4	4	10	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	31			
4	4	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	32			
5	5	12	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	33			
5	5	13	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	34			
5	5	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	35			
5	5	12	1.5		0	0	Chord	3/4	2	1	3/8			1/4	3/2	36			
5	5	27/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	37			
5	5	14	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	38			
5	5	29/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	39			
6	6	15	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	40			
6	6	15	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	41	ornamentMordent		
6	6	16	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	42			
6	6	17	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	43			3
6	6	15	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	44			
6	6	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	45			
6	6	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	46			
6	6	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	47			
6	6	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	48			4
7	7	18	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	49	ornamentShortTrill		
7	7	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	50			
7	7	19	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	51			
7	7	19	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	52			5
7	7	20	0.75		1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	53	ornamentMordent		
7	7	83/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	54			
7	7	18	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	55	ornamentShortTrill		
7	7	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	56			
7	7	19	1.5		1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	57			
7	7	41/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	58			
8	8		3.0	1	0	0	Chord	3/4	1	1	3/4			1/2	3/2	59	ornamentShortTrill		
8	8		3.0	1	0	0	Chord	3/4	2	1	3/4			1/2	3/2	60			
9	8	21	1.0	2	0	0	Chord	3/4	1	1	1/4			1/4	1	61			
9	8	22	1.5	2	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	62	ornamentMordent		
9	8	47/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	63			
9	8	21	0.0	2	0	0	StaffText	3/4	2	1	0							Reprise	
9	8	23	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	64			
10	9	24	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	65			
10	9	51/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	66			
10	9	26	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	67			
10	9	24	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	68			
10	9	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	69			
10	9	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	70			
11	10	27	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	71			
11	10	28	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	72			
11	10	28	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	73	ornamentMordent		
11	10	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	74			
11	10	27	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	75			
11	10	28	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	76			6
11	10	57/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	77			
11	10	29	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	78			7
11	10	59/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	79			
12	11	30	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	80	ornamentShortTrill		
12	11	30	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	81			
12	11	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	82			8
12	11	32	0.0		1/2	1/2	Chord	3/4	2	1	0	grace8after		1/8	1	83			
12	11	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	84	ornamentShortTrill		
13	12	33	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	85			9
13	12	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	86	ornamentShortTrill		
13	12	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	87			
13	12	33	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	88			10
13	12	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	89	ornamentShortTrill		
13	12	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	90			
14	13	36	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	91			
14	13	37	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	92			
14	13	37	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	93			
14	13	38	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	94			
14	13	38	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	95			
14	13	36	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	96			11
14	13	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	97			
14	13	37	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	98			12
14	13	75/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	99			
14	13	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	100			13
14	13	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	101			
15	14	39	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	102	ornamentShortTrill		
15	14	159/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	103			
15	14	40	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	104	ornamentMordent		14
15	14	41	0.75		1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	105	ornamentShortTrill		
15	14	167/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	106			
15	14	39	0.75		0	0	Chord	3/4	2	1	3/16			1/8	3/2	107			
15	14	159/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	108			
15	14	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	109			
15	14	41	0.75		1/2	1/2	Chord	3/4	2	1	3/16			1/8	3/2	110			
15	14	167/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	111			
16	15	42	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	112			
16	15	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	113			
16	15	42	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	114			
16	15	85/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	115			
16	15	43	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	116			
16	15	87/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	117			
16	15	44	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	118			
16	15	89/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	119			
17	16	45	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	120			
17	16	91/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	121			
17	16	46	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	122			
17	16	93/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	123			
17	16	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	124			
17	16	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	125			
17	16	45	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	126			
17	16	95/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	127			
18	17	48	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	128			
18	17	48	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	129	ornamentMordent		
18	17	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	130			
18	17	48	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	131			
18	17	97/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	132			
18	17	49	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	133			
18	17	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	134			
18	17	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	135	ornamentShortTrill		
18	17	101/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	136			
19	18	51	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	137			
19	18	103/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	138			
19	18	52	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	139			
19	18	105/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	140			
19	18	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	141			
19	18	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	142			
19	18	51	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	143			
19	18	107/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	144			
20	19	54	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	145	ornamentShortTrill		
20	19	55	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	146			
20	19	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	147			
20	19	54	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	148			15
20	19	109/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	149			
20	19	55	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	150			16
20	19	111/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	151			
20	19	56	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	152			17
20	19	113/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	153			
21	20	57	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	154			
21	20	57	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	155	ornamentMordent		
21	20	58	0.25		1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	156			18
21	20	233/4	0.75		5/16	5/16	Chord	3/4	1	1	3/16			1/8	3/2	157			
21	20	59	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	158			19
21	20	237/4	0.75		9/16	9/16	Chord	3/4	1	1	3/16			1/8	3/2	159			
21	20	57	1.5		0	0	Chord	3/4	2	1	3/8			1/4	3/2	160	ornamentMordent		
21	20	117/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	161			
21	20	59	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	162			
21	20	119/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	163			
22	21	60	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	164			
22	21	60	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	165			
22	21	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	166			
22	21	61	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	167			
22	21	123/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	168			
22	21	62	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	169			
22	21	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	170			
23	22	63	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	171			
23	22	63	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	172			
23	22	127/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	173			
23	22	64	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	174			
23	22	129/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	175			
23	22	65	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	176			
23	22	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	177			
24	23	66	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	178			
24	23	66	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	179			
24	23	133/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	180			
24	23	67	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	181			
24	23	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	182			
24	23	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	183			
24	23	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	184			
25	24	69	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	185			20
25	24	279/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	186	ornamentShortTrill		20
25	24	559/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	187			20
25	24	70	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	188			
25	24	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	189			
25	24	69	0.75		0	0	Chord	3/4	2	1	3/16			1/8	3/2	190			21
25	24	279/4	0.125		3/16	3/16	Chord	3/4	2	1	1/32			1/32	1	191	ornamentShortTrill		21
25	24	559/8	0.125		7/32	7/32	Chord	3/4	2	1	1/32			1/32	1	192			21
25	24	70	1.5		1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	193			
25	24	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	194			
26	25	72	0.0		0	0	Chord	3/4	1	1	0	grace8after		1/8	1	195			
26	25	72	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	196	ornamentShortTrill		
26	25	74	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	197			
26	25	72	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	198	ornamentShortTrill		22
26	25	74	0.0		1/2	1/2	Chord	3/4	2	1	0	appoggiatura		1/8	1	199			
26	25	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	200			
27	26	75	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	201			
27	26	76	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	202			
27	26	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	203			
27	26	75	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	204			
27	26	76	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	205			23
27	26	153/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	206			
27	26	77	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	207			24
27	26	155/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	208			
28	27	78	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	209	ornamentShortTrill		
28	27	79	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	210			
28	27	79	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	211			
28	27	80	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	212			
28	27	78	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	213			
28	27	157/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	214			
28	27	79	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	215			
28	27	159/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	216			
28	27	80	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	217			
28	27	161/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	218			
29	28	81	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	219			25
29	28	327/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	220	ornamentShortTrill		
29	28	655/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	221			
29	28	82	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	222	ornamentShortTrill		
29	28	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	223			
29	28	81	0.75		0	0	Chord	3/4	2	1	3/16			1/8	3/2	224			
29	28	327/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	225			
29	28	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	226			
29	28	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	227			
30	29	84	3.0		0	0	Chord	3/4	1	1	3/4			1/2	3/2	228			
30	29	84	3.0		0	0	Chord	3/4	2	1	3/4			1/2	3/2	229			
