mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	slur
14	14	213/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	307			
14	14	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	308			
14	14	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	309			
14	14	54	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	310			
14	14	217/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	311			
14	14	109/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	312			
14	14	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	313			
14	14	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	314			
14	14	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	315			
15	15	56	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	316	ornamentShortTrill		
15	15	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	317			
15	15	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	318			
15	15	115/2	0.0	3/8	3/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	319			
15	15	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	320			
15	15	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	321	ornamentShortTrill		
15	15	117/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	322			
15	15	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	323			
15	15	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	324			
15	15	119/2	0.0	7/8	7/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	325			
15	15	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	326			
15	15	56	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	327			
15	15	225/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	328			
15	15	113/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	329			
15	15	227/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	330			
15	15	57	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	331			
15	15	229/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	332			
15	15	115/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	333			
15	15	231/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	334			
15	15	58	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	335			
15	15	233/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	336			
15	15	117/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	337			
15	15	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	338			
15	15	59	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	339			
15	15	237/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	340			
15	15	119/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	341			
15	15	239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	342			
16	16	60	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	343	ornamentShortTrill		
16	16	121/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	344			
16	16	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	345			
16	16	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	346			
16	16	123/2	0.0	3/8	3/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	347			
16	16	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	348			
16	16	62	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	349	ornamentShortTrill		
16	16	249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	350			
16	16	125/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	351			
16	16	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	352			
16	16	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	353			
16	16	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	354			
16	16	127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	355			
16	16	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	356			
16	16	60	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	357			
16	16	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	358			
16	16	121/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	359			
16	16	243/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	360			
16	16	61	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	361			
16	16	245/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	362			
16	16	123/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	363			
16	16	247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	364			
16	16	62	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	365			
16	16	249/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	366			
16	16	125/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	367			
16	16	251/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	368			
16	16	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	369			
16	16	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	370			
17	17	64	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	371	ornamentShortTrill		
17	17	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	372			
17	17	65	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	373			
17	17	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	374			
17	17	66	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	375			
17	17	66	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	376	ornamentMordent		
17	17	267/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	377			
17	17	67	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	378	ornamentShortTrill		
17	17	271/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	379			
17	17	64	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	380			
17	17	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	381			
17	17	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	382			
17	17	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	383			
17	17	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	384			
17	17	131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	385			
17	17	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	386			
17	17	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	387			
17	17	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	388	ornamentTurn		
17	17	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	389			
17	17	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	390			
18	18	68	4.0	0	0	Chord	4/4	1	1	1			1	1	391			
18	18	68	4.0	0	0	Chord	4/4	2	1	1			1	1	392			
